Date,Open,High,Low,Close
05/7/2024,0,0,0,1.95
05/6/2024,0,0,0,1.88
05/3/2024,0,0,0,1.67
05/2/2024,0,0,0,1.66
05/1/2024,0,0,0,1.63
04/30/2024,0,0,0,1.68
04/29/2024,0,0,0,1.55
04/26/2024,0,0,0,1.4
04/25/2024,0,0,0,1.46
04/24/2024,0,0,0,1.6
04/23/2024,0,0,0,1.59
04/22/2024,0,0,0,1.64
04/19/2024,0,0,0,1.43
04/18/2024,0,0,0,1.59
04/17/2024,0,0,0,1.5
04/16/2024,0,0,0,1.38
04/15/2024,0,0,0,1.41
04/12/2024,0,0,0,1.36
04/11/2024,0,0,0,1.62
04/10/2024,0,0,0,1.9
04/9/2024,0,0,0,1.83
04/8/2024,0,0,0,1.73
04/5/2024,0,0,0,1.58
04/4/2024,0,0,0,1.78
04/3/2024,0,0,0,1.86
04/2/2024,0,0,0,1.65
04/1/2024,0,0,0,1.64
03/28/2024,0,0,0,1.54
03/27/2024,0,0,0,1.43
03/26/2024,0,0,0,1.48
03/25/2024,0,0,0,1.46
03/22/2024,0,0,0,1.5
03/21/2024,0,0,0,1.55
03/20/2024,0,0,0,1.58
03/19/2024,0,0,0,1.55
03/18/2024,0,0,0,1.54
03/15/2024,0,0,0,1.38
03/14/2024,0,0,0,1.26
03/13/2024,0,0,0,1.25
03/12/2024,0,0,0,1.57
03/11/2024,0,0,0,1.54
03/8/2024,0,0,0,1.54
03/7/2024,0,0,0,1.56
03/6/2024,0,0,0,1.67
03/5/2024,0,0,0,1.51
03/4/2024,0,0,0,1.48
03/1/2024,0,0,0,1.47
02/29/2024,0,0,0,1.67
02/28/2024,0,0,0,1.61
02/27/2024,0,0,0,1.52
02/26/2024,0,0,0,1.65
02/23/2024,0,0,0,1.52
02/22/2024,0,0,0,1.62
02/21/2024,0,0,0,1.58
02/20/2024,0,0,0,1.5
02/16/2024,0,0,0,1.55
02/15/2024,0,0,0,1.53
02/14/2024,0,0,0,1.51
02/13/2024,0,0,0,1.61
02/12/2024,0,0,0,1.76
02/9/2024,0,0,0,1.74
02/8/2024,0,0,0,1.74
02/7/2024,0,0,0,1.94
02/6/2024,0,0,0,2.1
02/5/2024,0,0,0,2.12
02/2/2024,0,0,0,2.01
02/1/2024,0,0,0,2.15
01/31/2024,0,0,0,2.19
01/30/2024,0,0,0,2.26
01/29/2024,0,0,0,2.41
01/26/2024,0,0,0,2.36
01/25/2024,0,0,0,2.56
01/24/2024,0,0,0,2.45
01/23/2024,0,0,0,2.15
01/22/2024,0,0,0,2.35
01/19/2024,0,0,0,2.7
01/18/2024,0,0,0,2.88
01/17/2024,0,0,0,2.86
01/16/2024,0,0,0,3.25
01/12/2024,0,0,0,13.2
01/11/2024,0,0,0,3.15
01/10/2024,0,0,0,3.25
01/9/2024,0,0,0,3.25
01/8/2024,0,0,0,2.72
01/5/2024,0,0,0,2.75
01/4/2024,0,0,0,2.83
01/3/2024,0,0,0,2.57
01/2/2024,0,0,0,2.56
12/29/2023,0,0,0,2.58
12/28/2023,0,0,0,2.55
12/27/2023,0,0,0,2.63
12/26/2023,0,0,0,2.5
12/22/2023,0,0,0,2.54
12/21/2023,0,0,0,2.48
12/20/2023,0,0,0,2.48
12/19/2023,0,0,0,2.44
12/18/2023,0,0,0,2.59
12/15/2023,0,0,0,2.44
12/14/2023,0,0,0,2.39
12/13/2023,0,0,0,2.33
12/12/2023,0,0,0,2.37
12/11/2023,0,0,0,2.39
12/8/2023,0,0,0,2.57
12/7/2023,0,0,0,2.52
12/6/2023,0,0,0,2.76
12/5/2023,0,0,0,2.72
12/4/2023,0,0,0,2.55
12/1/2023,0,0,0,2.63
11/30/2023,0,0,0,2.75
11/29/2023,0,0,0,2.7
11/28/2023,0,0,0,2.78
11/27/2023,0,0,0,2.74
11/24/2023,0,0,0,2.72
11/22/2023,0,0,0,2.72
11/21/2023,0,0,0,2.63
11/20/2023,0,0,0,2.49
11/17/2023,0,0,0,2.62
11/16/2023,0,0,0,2.91
11/15/2023,0,0,0,2.88
11/14/2023,0,0,0,2.69
11/13/2023,0,0,0,2.61
11/10/2023,0,0,0,2.71
11/9/2023,0,0,0,2.71
11/8/2023,0,0,0,2.18
11/7/2023,0,0,0,2
11/6/2023,0,0,0,2.71
11/3/2023,0,0,0,3
11/2/2023,0,0,0,3.12
11/1/2023,0,0,0,3.19
10/31/2023,0,0,0,3.34
10/30/2023,0,0,0,3.17
10/27/2023,0,0,0,3.24
10/26/2023,0,0,0,2.87
10/25/2023,0,0,0,2.86
10/24/2023,0,0,0,2.85
10/23/2023,0,0,0,2.65
10/20/2023,0,0,0,2.6
10/19/2023,0,0,0,2.84
10/18/2023,0,0,0,2.92
10/17/2023,0,0,0,2.94
10/16/2023,0,0,0,2.98
10/13/2023,0,0,0,3.11
10/12/2023,0,0,0,3.16
10/11/2023,0,0,0,3.19
10/10/2023,0,0,0,3.34
10/6/2023,0,0,0,3.3
10/5/2023,0,0,0,2.92
10/4/2023,0,0,0,2.92
10/3/2023,0,0,0,2.71
10/2/2023,0,0,0,2.7
09/29/2023,0,0,0,2.68
09/28/2023,0,0,0,2.74
09/27/2023,0,0,0,2.72
09/26/2023,0,0,0,2.55
09/25/2023,0,0,0,2.63
09/22/2023,0,0,0,2.63
09/21/2023,0,0,0,2.7
09/20/2023,0,0,0,2.78
09/19/2023,0,0,0,2.46
09/18/2023,0,0,0,2.54
09/15/2023,0,0,0,2.74
09/14/2023,0,0,0,2.81
09/13/2023,0,0,0,2.76
09/12/2023,0,0,0,2.72
09/11/2023,0,0,0,2.5
09/8/2023,0,0,0,2.53
09/7/2023,0,0,0,2.45
09/6/2023,0,0,0,2.49
09/5/2023,0,0,0,2.6
09/1/2023,0,0,0,2.7
08/31/2023,0,0,0,2.56
08/30/2023,0,0,0,2.48
08/29/2023,0,0,0,2.5
08/28/2023,0,0,0,2.6
08/25/2023,0,0,0,2.46
08/24/2023,0,0,0,2.42
08/23/2023,0,0,0,2.6
08/22/2023,0,0,0,2.58
08/21/2023,0,0,0,2.6
08/18/2023,0,0,0,2.44
08/17/2023,0,0,0,2.56
08/16/2023,0,0,0,2.55
