Date,Name,Open,High,Low,Close,Change,%
2024-01-03,BTC,"44,818","45,490","40,838",42740.0,-1440.0,-3.37
2024-01-02,BTC,"43,683","45,913","43,413",44818.0,2078.0,4.64
2024-01-01,BTC,"42,537","43,830","42,084",43683.0,-1135.0,-2.6
2023-12-31,BTC,"42,283","42,844","41,990",42537.0,-1146.0,-2.69
2023-12-30,BTC,"42,023","42,581","41,386",42283.0,-254.0,-0.6
2023-12-29,BTC,"42,521","43,121","41,689",42023.0,-260.0,-0.62
2023-12-28,BTC,"43,498","43,812","42,314",42521.0,498.0,1.17
2023-12-27,BTC,"42,154","43,562","42,123",43498.0,977.0,2.25
2023-12-26,BTC,"43,422","43,718","41,689",42154.0,-1344.0,-3.19
2023-12-25,BTC,"43,530","43,788","42,716",43422.0,1268.0,2.92
2023-12-24,BTC,"43,732","43,952","43,447",43530.0,108.0,0.25
2023-12-23,BTC,"43,685","44,069","43,349",43732.0,202.0,0.46
2023-12-22,BTC,"43,776","44,396","43,435",43685.0,-47.0,-0.11
2023-12-21,BTC,"43,454","44,244","43,318",43776.0,91.0,0.21
2023-12-20,BTC,"42,210","44,286","42,199",43453.0,-323.0,-0.74
2023-12-19,BTC,"41,941","43,409","41,815",42211.0,-1242.0,-2.94
2023-12-18,BTC,"42,077","42,077","40,522",41941.0,-270.0,-0.64
2023-12-17,BTC,"42,302","42,360","41,564",42077.0,136.0,0.32
2023-12-16,BTC,"42,244","42,665","41,681",42302.0,225.0,0.53
2023-12-15,BTC,"42,934","43,176","41,684",42245.0,-57.0,-0.13
2023-12-14,BTC,"42,888","43,430","41,739",42933.0,688.0,1.6
2023-12-13,BTC,"41,214","42,889","40,658",42888.0,-45.0,-0.1
2023-12-12,BTC,"40,804","42,067","40,662",41215.0,-1673.0,-4.06
2023-12-11,BTC,"43,956","44,042","40,219",40804.0,-411.0,-1.01
2023-12-10,BTC,"43,993","44,078","43,622",43956.0,3152.0,7.17
2023-12-09,BTC,"44,394","44,724","43,767",43993.0,37.0,0.08
2023-12-08,BTC,"43,241","44,428","43,113",44393.0,400.0,0.9
2023-12-07,BTC,"43,803","44,039","42,879",43241.0,-1152.0,-2.66
2023-12-06,BTC,"43,771","44,445","43,429",43803.0,562.0,1.28
2023-12-05,BTC,"41,774","44,080","41,419",43772.0,-31.0,-0.07
2023-12-04,BTC,"39,585","42,140","39,585",41775.0,-1997.0,-4.78
2023-12-03,BTC,"39,554","39,830","39,307",39585.0,-2190.0,-5.53
2023-12-02,BTC,"38,770","39,610","38,664",39552.0,-33.0,-0.08
2023-12-01,BTC,"37,758","38,984","37,627",38770.0,-782.0,-2.02
2023-11-30,BTC,"37,651","38,146","37,523",37758.0,-1012.0,-2.68
2023-11-29,BTC,"38,282","38,385","37,610",37651.0,-107.0,-0.28
2023-11-28,BTC,"36,816","38,403","36,805",38286.0,635.0,1.66
2023-11-27,BTC,"37,595","37,755","36,752",36816.0,-1470.0,-3.99
2023-11-26,BTC,"37,817","37,830","37,178",37595.0,779.0,2.07
2023-11-25,BTC,"37,861","37,958","37,619",37817.0,222.0,0.59
2023-11-24,BTC,"37,289","38,416","37,230",37861.0,44.0,0.12
2023-11-23,BTC,"37,635","37,855","36,915",37289.0,-572.0,-1.53
2023-11-22,BTC,"36,943","37,636","35,675",37635.0,346.0,0.92
2023-11-21,BTC,"37,573","37,656","36,296",36942.0,-693.0,-1.88
2023-11-20,BTC,"36,935","37,766","36,843",37573.0,631.0,1.68
2023-11-19,BTC,"36,619","37,037","36,416",36936.0,-637.0,-1.72
2023-11-18,BTC,"36,501","36,841","36,226",36619.0,-317.0,-0.87
2023-11-17,BTC,"35,948","36,684","35,849",36501.0,-118.0,-0.32
2023-11-16,BTC,"37,562","37,964","35,534",35948.0,-553.0,-1.54
2023-11-15,BTC,"35,286","37,855","35,232",37562.0,1614.0,4.3
2023-11-14,BTC,"36,779","36,792","34,971",35287.0,-2275.0,-6.45
2023-11-13,BTC,"37,146","37,419","36,593",36778.0,1491.0,4.05
2023-11-12,BTC,"37,015","37,231","36,766",37146.0,368.0,0.99
2023-11-11,BTC,"37,259","37,520","36,937",37015.0,-131.0,-0.35
